mint,status,mint_auth_live,freeze_auth_live,top1_pct,top10_pct,total_holders,lp_providers,liquidity_usd,creator_tokens,insiders_detected,launchpad,rugged,score,risks
4iEkSPpXxjsD6fRY9UmCGX73NJch5yakPzYt6McLpump,ok,0,0,64.3691,89.8256,2252,0,14152.6,,0,unknown,0,1,
H5JGCZgmZvgfGZefWqGcGgJQAyvFqxPLcVq4FGRopump,ok,0,0,99.3923,99.9051,375,0,3512.3,,0,unknown,0,1073,Low Liquidity
8NBpJwduHowes2ryCJyZHF9Lh8UrDenAYE2B6QAApump,ok,0,0,100,100,3,0,0,,0,unknown,0,24601,Top 10 holders high ownership|Single holder ownership|Low Liquidity|High ownership
J7sc2CqVTNNfcDqY6WeoFHRiPBaxmre62xiLJ1Z3pump,ok,0,0,100.0,100.0,6,0,4646.69,,0,"{'name': 'Pump.Fun',",0,1,
35JJinUgjXSoP8CBj1jNRxF5nT5gdJHpLgzYxtC1pump,ok,0,0,97.7057,99.8771,182,0,3275.4,,0,unknown,0,1190,Low Liquidity
GzcgxeXQDM7qK8fN7fzQCWaSPiyCkmGpXzF8jiiTpump,ok,0,0,89.9633,93.0788,4096,0,8597.64,,0,unknown,0,1,
8J8Qk7vT51ocArEzsjqD5yiEWgMqjKBf6d1P5RmWpump,ok,0,0,92.5582,99.6018,480,0,3661.87,,0,unknown,0,899,Low Liquidity
7fS9TUWeyudwkTcyD3R78yNsPB1978Eb4MmnjutXpump,ok,0,0,99.1143,99.8503,486,0,3208.47,,0,unknown,0,1167,Low Liquidity
8Y7LBcxvR6Uj85g4sJr94nmZRy3kGbES2RZyyckpump,ok,0,0,95.8939,98.2734,1452,0,5406.05,,0,unknown,0,110,Low Liquidity
F6s6hxSW6yWF4h5YBbW28JHLFEGXKYbEmungaTPtpump,ok,0,0,37.1172,55.4019,12206,2,50369.8,,0,unknown,0,1,
4yCuUMPFvaqxK71CK6SZc3wmtC2PDpDN9mcBzUkepump,ok,0,0,55.1172,69.1634,11654,0,11342.59,,0,unknown,0,1,
8Eesb1HpC9D8cZqMV8W1sz9jxvc1n4y6ha2KwHEUpump,ok,0,0,92.5414,95.9915,3090,0,4846.94,,0,unknown,0,716,Low Liquidity
83ZGHLc2FMN817dPTo8VbTCQiMic6gfYzc9hhfKdpump,ok,0,0,100,100,1,0,0,,0,unknown,0,24601,Top 10 holders high ownership|Single holder ownership|Low Liquidity|High ownership
2T8VzQDbvqyUE6yXf6UoP4WNLsBmkGB1nQZkeegcpump,ok,0,0,96.1884,98.5547,1427,0,4238.52,,0,unknown,0,642,Low Liquidity
6EuFgGVz34mSk1ijrs2rg9P54HAyn68daX5Q2apHpump,ok,0,0,91.7685,96.28,1904,0,4778.37,,0,unknown,0,400,Low Liquidity
3889yL1S1zuDrY7e2xgjbQaCAXSCwNfwJ76tLPbSpump,ok,0,0,99.1294,100.0,3,0,0,,0,unknown,0,24513,Top 10 holders high ownership|Single holder ownership|Low Liquidity|High ownership
FQNCqpD1CxLvaWJZo9jzaWwJnkkUfbK9AGYpiZjRpump,ok,0,0,77.3811,93.7849,1455,0,6947.39,,0,unknown,0,81,Low Liquidity
DgtHKnyVwzg8rjcZa8b6A1q5WokADUcJFXf4TBdpump,ok,0,0,100,100,3,0,0,,0,unknown,0,24601,Top 10 holders high ownership|Single holder ownership|Low Liquidity|High ownership
CfQ7rniFanxNR69gXRcXRq98evdvWvtSEVfj1cSkpump,ok,0,0,99.9701,100.0,3,0,0,,0,unknown,0,24598,Top 10 holders high ownership|Single holder ownership|Low Liquidity|High ownership
B1PC7L8LE2j8txjhtd1qWKAcJ8i5M5S4Nt5vekmKpump,ok,0,0,98.5638,99.4359,558,0,3516.48,,0,unknown,0,1109,Low Liquidity
e5yv776NxRmAP2FygDxTMzwzzD3FPKQRHbHQvFwpump,ok,0,0,91.1713,96.851,1535,0,3994.17,,0,unknown,0,802,Low Liquidity
EJnDq5rBMtjN13wu2mZwTXeQNwoyCt2Mf6zwKUgrpump,ok,0,0,93.8756,96.835,2323,0,5825.83,,0,unknown,0,1,
Bk14ph79BqP9qHCxBG4LdHQrQCgGVs227AxA8Ujppump,ok,0,0,100,100,2,0,0,,0,unknown,0,24601,Top 10 holders high ownership|Single holder ownership|Low Liquidity|High ownership
27tkPwt98zL43snkTFp7DsYVYiWpXNVsGzYTgzbipump,ok,0,0,87.2081,99.9181,35,0,0.0,,0,unknown,0,23382,Top 10 holders high ownership|Single holder ownership|Low Liquidity|High ownership|Mutable metadata
4FRzvry7yzqE4Jsf17376c9XDLJZsvgw4WQGAgjqpump,ok,0,0,100,100,2,0,0.0,,0,"{'name': 'Pump.Fun',",0,1,
3UQqrQjMJxWz1CNAWbjFBt8pkupSaA8hmtZU7wQLpump,ok,0,0,74.3753,91.3989,563,0,7334.85,,0,unknown,0,582,Low Liquidity
DMAjaBMyDSDCoFS3EcuZwARwTWLmDLbWooAmcntPpump,ok,0,0,51.8417,100.0,20,0,0.0,,0,unknown,0,19500,Top 10 holders high ownership|Single holder ownership|Low Liquidity|High ownership|Mutable metadata
DJUzgqK2iJfYq7kpgc9eii2T28NgdsGfQo6mhaR9pump,ok,0,0,81.8461,96.3578,2292,1,7656.03,,0,unknown,0,1,
2Ng1MZV3hGCVm4zWRjLnsNfomqPwdX5gDQqcc9vTpump,ok,0,0,98.2049,99.7245,208,0,5563.06,,0,unknown,0,1118,Low Liquidity
WqtvdEgnGdnPBf3jVGBPWjzzaYG2iWt2VbgB4XVpump,ok,0,0,93.462,98.105,1179,0,4217.12,,0,unknown,0,698,Low Liquidity
5mQgm6tLdnFxVGEGFE87h7BVBmVNpoWDazmEzAkUpump,ok,0,0,83.6311,92.6686,4647,1,8004.33,,0,unknown,0,1,
6MzGTRdkwekokXTBjhH5SqCoQGUVTEaLa8H33NCfpump,ok,0,0,100.0,100.0,2,0,0.0,11,0,"{'name': 'Pump.Fun',",0,28401,Creator history of rugged toke|Copycat token
2AQP5hQeBz4zUEQg452NpgjiatRkaLJ8nAasDQGkpump,ok,0,0,94.0222,98.379,2855,0,6115.81,,0,unknown,0,1,
71d8YGeWmdcFYYGbEwrH87VPuKsejoXTw173JoQpump,ok,0,0,81.4737,93.887,1345,0,4600.47,,0,unknown,0,314,Low Liquidity
XqSM67W9zPMgYmcAPjRzkh2JaGatPibxC6M58pZpump,ok,0,0,96.2826,98.4707,1136,0,6596.4,,0,unknown,0,700,Low Liquidity
3R739d625nwW3XJBmycs4eCV87VLQFBJsVbpMHcEpump,ok,0,0,60.6008,99.1495,31,0,0.0,,0,unknown,0,3100,Low Liquidity|Mutable metadata
AEkR2P2DyhLCaWCk9geHBoQXq7Chv2K6Mnb8S9yTpump,ok,0,0,96.8803,98.4015,1538,0,4036.6,,0,unknown,0,515,Low Liquidity
GGFNJcgy3qMppc6LtB5mW8c62EiLUAejFedtitbpump,ok,0,0,94.3084,97.7145,2656,0,7079.3,,0,unknown,0,281,Low Liquidity
DztroDVaThoTxE7q9Mrg5rXTATqTPCm2uijXwUUDpump,ok,0,0,98.794,99.7169,554,0,3640.11,,0,unknown,0,1054,Low Liquidity
J8LVXTpQtnPjUSvyEudWHbBL9sYnYCafHKuLM6Kspump,ok,0,0,100,100,2,0,3966.03,,0,"{'name': 'Pump.Fun',",0,1,
