address,chain,source_count,sources,categories,etherscan_reputation,etherscan_labels,etherscan_nametag,tier
0x37c85a7523b1832b4d0380b2f513e88b66e8c850,ETH,7,chainabuse_crawl|cryptoscamdb|eth_labels_dawsbot|forta_labelled_datasets|graphsense_defi-fraud-masterthesis|mew_ethereum_lists|yuanqi_ethereum,chainabuse|malicious_label|phishing|scam_community_verified|scam_phishing|scam_scamming,2,Phish / Hack,Fake_Phishing546,CONFIRMED_MALICIOUS
0x3853ba76ec6ae97818e2d0e0839c9eda6c396690,ETH,7,chainabuse_crawl|cryptoscamdb|eth_labels_dawsbot|forta_labelled_datasets|graphsense_defi-fraud-masterthesis|mew_ethereum_lists|yuanqi_ethereum,chainabuse|malicious_label|phishing|scam_community_verified|scam_phishing,2,Phish / Hack,Fake_Phishing329,CONFIRMED_MALICIOUS
0x3aa65f17cde339df49afd2f88b3c8495842d5fb0,ETH,7,chainabuse_crawl|cryptoscamdb|eth_labels_dawsbot|forta_labelled_datasets|graphsense_defi-fraud-masterthesis|mew_ethereum_lists|yuanqi_ethereum,chainabuse|malicious_label|phishing|scam_community_verified|scam_phishing,2,Phish / Hack,Fake_Phishing191,CONFIRMED_MALICIOUS
0x3fcb2d173389b7cd8079ef8b439dbd92e7e0ae28,ETH,7,chainabuse_crawl|cryptoscamdb|eth_labels_dawsbot|forta_labelled_datasets|graphsense_defi-fraud-masterthesis|mew_ethereum_lists|yuanqi_ethereum,chainabuse|malicious_contract|malicious_label|phishing|scam_community_verified|scam_phishing,2,Phish / Hack,Fake_Phishing50,CONFIRMED_MALICIOUS
0x44a7ff01f7d38c73530c279e19d31527bdcf8c78,ETH,7,chainabuse_crawl|cryptoscamdb|eth_labels_dawsbot|forta_labelled_datasets|graphsense_defi-fraud-masterthesis|mew_ethereum_lists|yuanqi_ethereum,chainabuse|malicious_label|phishing|scam_community_verified|scam_phishing,2,Phish / Hack,Fake_Phishing99,CONFIRMED_MALICIOUS
0x4899f3371fb9f8e68a0b639bf1fd75220a089c42,ETH,7,chainabuse_crawl|cryptoscamdb|eth_labels_dawsbot|forta_labelled_datasets|graphsense_defi-fraud-masterthesis|mew_ethereum_lists|yuanqi_ethereum,chainabuse|malicious_label|phishing|scam_community_verified|scam_phishing,2,Phish / Hack,Fake_Phishing438,CONFIRMED_MALICIOUS
0x4bb1c210e3921e0f051ed00e898b9605c902114e,ETH,7,chainabuse_crawl|cryptoscamdb|eth_labels_dawsbot|forta_labelled_datasets|graphsense_defi-fraud-masterthesis|mew_ethereum_lists|yuanqi_ethereum,chainabuse|malicious_label|phishing|scam_community_verified|scam_phishing,2,Phish / Hack,Fake_Phishing439,CONFIRMED_MALICIOUS
0x4bde78ead56a30055d33bf84f52e420b0f6070ba,ETH,7,chainabuse_crawl|cryptoscamdb|eth_labels_dawsbot|forta_labelled_datasets|graphsense_defi-fraud-masterthesis|mew_ethereum_lists|yuanqi_ethereum,chainabuse|malicious_label|phishing|scam_community_verified|scam_phishing,2,Phish / Hack,Fake_Phishing447,CONFIRMED_MALICIOUS
0x4bf722014e54aeab05fcf1519e6e4c0c3f742e43,ETH,7,chainabuse_crawl|cryptoscamdb|eth_labels_dawsbot|forta_labelled_datasets|graphsense_defi-fraud-masterthesis|mew_ethereum_lists|yuanqi_ethereum,chainabuse|malicious_label|phishing|scam_community_verified|scam_phishing,2,Phish / Hack,Fake_Phishing250,CONFIRMED_MALICIOUS
0x4c191dca6cecfa1e55caa3cf178eea52728b13e7,ETH,7,chainabuse_crawl|cryptoscamdb|eth_labels_dawsbot|forta_labelled_datasets|graphsense_defi-fraud-masterthesis|mew_ethereum_lists|yuanqi_ethereum,chainabuse|malicious_label|phishing|scam_community_verified|scam_phishing,2,Phish / Hack,Fake_Phishing255,CONFIRMED_MALICIOUS
