mint,status,mint_auth_live,freeze_auth_live,top1_pct,top10_pct,total_holders,lp_providers,liquidity_usd,creator_tokens,insiders_detected,launchpad,rugged,score,risks
DATiwd3NsbaRArGvmaFcFpc9jF8qciN7Fj4jRHAFUHFA,ok,0,0,54.247,88.815,2505,0,19859.31,,0,unknown,0,2401,High holder correlation|Mutable metadata
8W4qpyLx74vwBRewa3rVEPPVMnJ8VWMkCTWCTSYPQTDu,ok,0,0,32.4625,75.4736,3028,0,22052.03,,0,unknown,0,101,Mutable metadata
FdGoS1Dok5CLnS8fVSmj5A92uY1yhzdTC2ZxuLJdkwgs,ok,0,0,44.404,73.7455,8656,1,6108.43,,0,unknown,0,101,Mutable metadata
Dr9s6hHSrSDom1zhwtJ7vp3RsJ3AX2y7ja2ZYEHQiC7f,ok,0,0,89.344,95.9082,1746,0,5907.37,,0,unknown,0,334,Low Liquidity
M9i5xQz8Z2Ua3VHuBkjBSkP5HYwdetu7N9RP5VUsW4z,ok,0,0,33.434,78.2751,6751,1,13093.35,,0,unknown,0,3344,Single holder ownership
GtDZKAqvMZMnti46ZewMiXCa4oXF4bZxwQPoKzXPFxZn,ok,0,0,10.626,29.0908,108641,10,1172993.49,,0,unknown,0,1,
AkVt31h8vgji5wF4nVbq1QmBV5wBoe8JdSoDTkDhQwEw,ok,0,0,27.7252,46.7719,11570,1,30255.88,,0,unknown,0,1,
E5ZVeBMazQAYq4UEiSNRLxfMeRds9SKL31yPan7j5GJK,ok,0,0,38.3543,68.5663,5527,5,50090.45,,1,unknown,0,5030,Single holder ownership|High holder concentration|Mutable metadata
FbUy1NubUtCfoif7TAr6wAtJVJFapYUVWxRGmUwvKNyS,ok,0,0,17.3457,89.0301,601,0,237.1,,0,unknown,0,20569,Large Amount of LP Unlocked|Top 10 holders high ownership|Low Liquidity|Mutable metadata
9M26M7CxkJdaewdiH8v5kSiiXKbWBBirTE1QmXHmDvVg,ok,0,0,65.6808,81.4277,7727,0,16749.45,,1,unknown,0,1,
2emYMetySwE7Xh6qrG1AwAQ3TDvrLkUSpSZ5AjcWCc7B,ok,0,0,65.0089,74.729,37978,4,11303.87,,1,unknown,0,101,Mutable metadata
Bzu1nWVKRFEn7FRumTNrTC4qqxtBaMCMBNY1z7ejpump,ok,0,0,46.8689,80.9015,7532,0,10982.47,,1,unknown,0,1,
GTTS8jkhmfWBdYyKNSgbDQeYqVkpALkP98YJRGbRbvUA,ok,0,0,37.327,69.9267,2509,0,7406.92,,0,unknown,0,200,Mutable metadata|Low Liquidity
G2ShfTkHaPgY1YUqZzB611coeFpbhyGirzgGmyW5fEhV,ok,0,0,75.5779,90.0676,2502,0,5692.31,,1,unknown,0,1,
CvB1ztJvpYQPvdPBePtRzjL4aQidjydtUz61NWgcgQtP,ok,1,0,74.0608,97.3872,3407,0,20523.51,,0,unknown,0,82669,Mint Authority still enabled|Large Amount of LP Unlocked|Top 10 holders high ownership|Single holder ownership|Low Liquidity|High ownership|Mutable metadata
EArkn8uVf8YLfpF2eCdkCvDaPYpQuJzKXxaCnyxXc2P7,ok,0,0,39.8823,57.9701,33973,4,7658.04,,0,unknown,0,1,
GtLBsmS6Z4FC9gmnCFS2ZzCKmb9vYL3kELnjVmxHurnh,ok,1,1,24.7317,82.3849,709,6,84763.68,,1,unknown,0,87176,Mint Authority still enabled|Freeze Authority still enabled|Large Amount of LP Unlocked|High holder concentration|Mutable metadata
