address,exists,owner_prog,acct_type,mint_auth,freeze_auth,supply,decimals,token2022_ext
12cAuuj4L415yPNmavZ4T4xR6CCFFTMpkUdJPBn8pS1E,1,SPL_TOKEN,mint,0,0,998888060980605,6,
12d3KBU8GPk8aoZKceBCmxWXSkEpLNXYNSScS7QTpump,1,SPL_TOKEN,mint,0,0,952359116580211,6,
12dm5oR9FXuKk3XxQnxW7vJ8pAAvNqL4dxZAfMWYDJVf,1,SPL_TOKEN,mint,0,0,754786550184787784,9,
12e58eh6SNkpACeLcrpo8UPshDuCvNF7MYMKwAxDtCMJ,1,RAYDIUM_AMM,,0,0,,,
12f1ZpZiiY4eGnsxDdC1ksXG414WCZfRqvxwntL4fM4x,1,SPL_TOKEN,mint,1,1,250714,0,
12f3r2iHPNJfHZdgBaZR242Tvs339qbQuAx6Q8rJooK4,1,SPL_TOKEN,mint,0,0,995946694986212,6,
12fhde7Sur7DBXwCjKRbfR9H3fAsc1MKHMdqaEnqa1kf,1,SPL_TOKEN,mint,0,0,99679136216924452,7,
12gLRX4inLFsJcCp1N6twj59B2Jx56DpWvbkzdKHKCFg,1,RAYDIUM_AMM,,0,0,,,
12hZbyqta7k4jEiRkkAMbo92SMyzBRztsnt773q2pump,1,TOKEN_2022,mint,0,0,1000000000000000,6,metadataPointer|tokenMetadata
12heNozSpaDaTbdhaG7CpE49SrxsgU6pRt74knYvrPGC,1,Eo7WjKq67rjJ,,0,0,,,
12hpdYatPFQQ57kCSZR4YKeBhsKYUPqRCChDVJPzpump,1,SPL_TOKEN,mint,0,0,1000000000000000,6,
12iBxnj2rrn9mdXpSYSKtpn5uunnmvvwkAwRhGBXXvuV,1,RAYDIUM_AMM,,0,0,,,
12jXT1z3gv8LUf4UGjV4GXuqat93iVApSbgZnzXaeEgr,1,METEORA_DLMM,,0,0,,,
12jaHFQDjRPNpawtNo1h1FVTSUn6365XDVYT1i1PxTrW,1,RAYDIUM_AMM,,0,0,,,
12k7ovnF5gSre7eVtWtz8tqKBRGdJdipYqGLM3aHfpsN,1,ORCA_WHIRLPOOL,,0,0,,,
12kwbamK6zTaZLof3eSP1k26KaauvqdJZnZA4EN9TtBf,1,METEORA_DLMM,,0,0,,,
12m1W7jHMttSMWof9RkmK3rTM3maQWbCH3nRDqQwpump,1,SPL_TOKEN,mint,0,0,999368590755756,6,
12mFQfKgHknzDZTNPPGxpLcWRYh9hjUpYC1hPiWdvFwz,1,ORCA_WHIRLPOOL,,0,0,,,
12mcpYL84oMi8Hiinyjuv2Zq3F47tLLxjw1THLcAdKT2,1,SPL_TOKEN,mint,0,0,871477790427843,6,
12mjupcvFK2Hr7WUz4NdaFyhxUkXHBNbzhC7HFkDM9Tc,1,RAYDIUM_AMM,,0,0,,,
12nXVvvFYkgNt5P7dJcpZnJkk5wU8T34j5FhKx3JqJU6,1,SPL_TOKEN,mint,1,1,3875844260418243515,6,
12oMCUJX4jzWbgBkGdowxEcGmhtS165nn7BKSgAPQgjj,1,SPL_TOKEN,mint,1,1,9802575177611049817,6,
12oNkR9Sm8VNYtfpFqvWu2pR8Mc3gE2BHnJw6NSbc9A8,1,METEORA_DLMM,,0,0,,,
12oXoFMW3VwmemTCS2Swrf4DRUiwyi2oyZvcmjWLhbWG,1,Eo7WjKq67rjJ,,0,0,,,
12osadF4MvLVmYge2nZc9ePt5HKaftdufX9KL9XkAMzW,1,Eo7WjKq67rjJ,,0,0,,,
12ozKi8JPUFuYMYmCZMX4bAJQx5NBsv6mBWgBGYMcD3v,1,RAYDIUM_AMM,,0,0,,,
12pHZir4rFCnDiAjR8tBTBak5Z5JuVoiQVpWJ4pEwudJ,1,SPL_TOKEN,mint,1,0,8198,0,
12ppEb5DzqjocuXtdM2Wdw9zcw7eZ7QAAV3qXBjaFQze,1,Eo7WjKq67rjJ,,0,0,,,
12qHPovnv176zHrX2UExBy562Mf78o1K2e5Nt64iR1vG,1,METEORA_DLMM,,0,0,,,
12qQ7NPzEUYspwW7opSRPSXH7Kwj2wU6ezPtWRKtpump,1,SPL_TOKEN,mint,0,0,999212671709697,6,
12r122vM8Gczuxu7T3DQSo9nxHFTAwikUhT9EcZffd7x,1,Eo7WjKq67rjJ,,0,0,,,
12rYgVN9SbsMHdQHg2fhme1SyjCtPgLAoB9X7V6DRhge,1,METEORA_DLMM,,0,0,,,
12s9rrDkaTGpYGSYJrnamkrfTynd1aij5uLsaSCHpump,1,SPL_TOKEN,mint,0,0,99693655441795042,8,
12sCFPJSfe8PXE1aiW28g6ZskJ7w7kKsiAvVzLUXpump,1,SPL_TOKEN,mint,0,0,994020214316641,6,
12smDCvkFeJ7fKzB3CETuwCnPyoi7arcHafWXTBA8AF5,1,METEORA_DLMM,,0,0,,,
12u9xFryfnMEwrRX4HHwKw6i4UaH2ALThiWHoPFCMSQ3,1,Eo7WjKq67rjJ,,0,0,,,
12ucVyoUUatgFxAj7HEYU8xjB9gCq5qUts1xrjCLSyUs,1,SPL_TOKEN,mint,1,0,993733574169806645,9,
12wAqfb3h5Z82zQzq9ypRKfF544FrWqkkMEG9we2z81y,1,SPL_TOKEN,mint,0,0,19926413317156,6,
