mint,creator,rugged,score
26MhAs1izhQDbTZTKLCd38SPB5KUdY1HgTuwFdyBpump,TSLvdd1pWpHVjahSpsvCXUbgwsL3JAcvokwaKt1eokM,False,1220
26eVnjGKGVEwBYmKYZoVmCNvMq2WkfbyEkqieUVCpump,HuDyQkZiSht458vQbdX9vdJG3u4QYnDExoKqnSwJE4Yv,False,24601
26sm8XQsfu8qVcuEAKtpAPYc3SepnbHusyffGkZ5pump,TSLvdd1pWpHVjahSpsvCXUbgwsL3JAcvokwaKt1eokM,False,1186
26t8N88FeFSAdMq6bf8ng3Sq7GpU3y6eRms8ohGqpump,DecwyL48aszMtV5DsPjLySxiGM3M6LVWqviHdmeUCmo5,False,807
26uNcuX5wR2kxA5YiE6GPK9GWniB629JjK5RM7cWpump,TSLvdd1pWpHVjahSpsvCXUbgwsL3JAcvokwaKt1eokM,False,1171
274UNQwWb1pAeMyik6Tb41A9a8XpfCa2YmaiUMyvpump,BRkggr1zavi3x8XPwZnayB6fveEVsS9BZfT6bWRWaj8u,False,24600
275gHC7WqaeccZSHJ86mjPYzrKzmTVTXjWeHgttjpump,TSLvdd1pWpHVjahSpsvCXUbgwsL3JAcvokwaKt1eokM,False,2001
277HBru3tNVARSqMuMy6yfTqegupm5jinRdFaZ6apump,TSLvdd1pWpHVjahSpsvCXUbgwsL3JAcvokwaKt1eokM,False,1304
27iDPQCfQUbCZse28kyFjkjejxPr881Jbm17UArwpump,TSLvdd1pWpHVjahSpsvCXUbgwsL3JAcvokwaKt1eokM,False,1088
27qan4oU6FU141WvxascuWBN7G7yWvwp8YqMGVU2pump,5tuec4FJnQQcQYdLh7pAkwVYEhuBD4smFnvoJtR75y9R,False,1
27tkPwt98zL43snkTFp7DsYVYiWpXNVsGzYTgzbipump,J4FRVcuzNMqGAv3MgvcndAaBwksqMUYv6TYJLjf1KyJ2,False,23382
27vMFjJerzLd5iZX2tRWL4eHUTr5Lfh5YWdakU3Zpump,TSLvdd1pWpHVjahSpsvCXUbgwsL3JAcvokwaKt1eokM,False,784
286Vat8FuqihrASZMH4AXVyVM9DrPDQ1fSSaq5XUpump,Cwb4Fp7UgLwdr4VrwSKP8nZw4Cor4qFUz3E6DrbUqt8i,False,1
289W7Wmn7Sv96jDNjFcyh42WuV55MdqEsmQ2By5Qpump,5YX9mL8iuQgUFQh93LemdwGupimcbp5Yc2GbmVhXQ81D,False,1319
