pool,verdict,liquidity_usd,scam_mint,scam_sym,quote_sym,dex
14PMiP8B394959iHdT98f7NLNhxWrgpmLDA17iazBC9G,rug_completed,0,,,,
14PY4mHA6VHBzngFfvYuqSnheNYcfDuUJtjwCfrhT576,rug_completed,0,,,,
14R9zpy6TNmyRM9zNwiPHx2YBvoNcss2P84h8JP1vWqd,rug_completed,0,,,,
14SBd6rLRDnGUX9JmEHMGdPewQQv3zPMoNGyH1xnUr4j,rug_completed,0,,,,
14SGcid4gooNjjfNQbSZHyw2fyWcCnXrSz71PsACBQfi,rug_completed,0,,,,
14Sui42TEEcQ1tmBAMMZzAdpbsmGxqNQMWevs8wFMu7v,rug_completed,0,,,,
14TAnpeomRgQmgQD7kfpDMxFF8MxkdGypikeqkmbF2aY,rug_completed,0,,,,
14TB4DumrKLZBHggZztvQ9DThxP4dgzK2Cpc7mkuCDeN,rug_completed,0,,,,
14UzX7Cuh58qePTwpS9P24UGNKFdp1xNuF8z9kC47xqs,rug_completed,0,,,,
14VVmX3RgnvQUhUenScff6taWF71FgHav3WzJyWLqiyA,rug_completed,0,,,,
14X1LxztKTdTTnvQdRzegSTDJ8ULJYMW7j9mszWFofv5,rug_completed,0,,,,
14X7KEyzb8PBbiVHLcrHL2jrrkaZ6Adjxjs1g2SFezu7,rug_completed,0,,,,
14XVGu8kBU5zgwqkxR1brnZBd65pbSZPUgRc5uWGCQGj,rug_completed,0,,,,
14ZSDqVHXLCTYJWvVLRL99JHVJiNExciTj6A3NDwJfNs,rug_completed,0,,,,
14ZgLV9ZLHQperd8cEytSirWx8phgaLhyyJqTJ2P5H1h,rug_completed,0,,,,
14anQecpksjwV7GDEYfRFtYcmYgosWvAC2cVSMRSrTa3,rug_completed,0,,,,
14bLC2KcZ2yFyCDSzHsNemoXUGf9fCmgqQ8jeHEfr3Ed,scam_pool_active,137447.1,F6qoefQq4iCBLoNZ34RjEqHjHkD8vtmoRSdw9Nd55J1k,SHIB,SOL,raydium
14boXCp9ERP8KJTSBUnpx63NncoC8yBzSQAWfkxB1CzD,rug_completed,0,,,,
14cGr3kdMViBNh7sQqmxv7gmBC9D2FgmSPapxeZdqUze,rug_completed,0,,,,
14dB5PScxFX8FL4QA1ZDc7gkAntXwkKqXqrPaijT2Qce,rug_completed,0,,,,
14dX9cQ5a3DmKHp9f2S5NED5V91C2r638HZP1XwZDf9e,rug_completed,0,,,,
14ecyezbEeuYnqc8uhmpxRHx3f235w5vvyjgjMmYh5wY,rug_completed,0,,,,
14hEtgM6nNDjhsva7HA5d8y9SjCnrKJpmw8dB8sTXwnN,rug_completed,0,,,,
14hZu4f8UFpjmrWY8HRPq9dLKNQPtS4JFXVtvoZCi7vC,rug_completed,0,,,,
14ij66BJz4Jn5i3vfPqE8RHzt2JSK5LXXzvgsagQAA4e,rug_completed,0,,,,
14mQQVc2VefFzbfZ8iMUBcn7mMcbaxx7EfEuHbhij2oq,rug_completed,0,,,,
14o7bNeht4sPHmAMwNwN4v9StnkxxCfp6KYjGbvsjMMp,rug_completed,0,,,,
14oHryYaJrDW7vjTkJGCvF7PEjWToaMf1Tig6KhesuQr,rug_completed,0,,,,
14qGHitGWCuE3h8fNou9HTtWdLhH8y8W8Y8Lhp6sfJhS,rug_completed,0,,,,
14rHX8b2qhh7a3zoTARwukMvuSZV7vYE74Jk8igrv1ZS,scam_pool_active,15.17,EKpQGSJtjMFqKZ9KQanSqYXRcF8fBopzLHYxdM65zcjm,$WIF,BOME,orca
14sQe4XUzapcZFqUgYCEz2wrXHxL1aA27UD58sSkB8YZ,rug_completed,0,,,,
154u8VXoZPtZxShNCGNdynX1qkcVFCvueXTuz2cQPNb,rug_completed,0,,,,
15uBgCdPYENrd7bnCe8nsk5eUt45QTaYg2b5J5SMg31,rug_completed,0,,,,
19EXxAVL1Sj9D5igZRnw12YpgkjhKxLVXpxD7aEhLCc,rug_completed,0,,,,
19YiDp8JaDxRSfBY3v9gzYUM3zxo1sqjMXJYqspVdZs,rug_completed,0,,,,
19fB2M1g5bATAE7PHjVM8cARLYJgRLjNv5Sqs9inheG,rug_completed,0,,,,
1CeHGUiNyTeMhFQFdYwSmqbYfZ2jTUePNx6WnwMoPuy,rug_completed,0,,,,
1CgeNRxszMtshTRXvkyZnnmiKvHbySp8pYVfo3j1QC9,rug_completed,0,,,,
1D5GHSzrcaSXLtUYxSCg4vWHdKGd7hFnasYPiPFYFGX,scam_pool_active,78926.71,Dnb9dLSXxAarXVexehzeH8W8nFmLMNJSuGoaddZSwtog,COK,SOL,raydium
1DG9mAj9itWJy5oSg5GxEoVSp5gGJFaesTqYXbZnsdM,rug_completed,0,,,,
1EVE2fgt1F8MVgXMmHVjVSNgVXdUj8NgSUadvZp9qaV,rug_completed,0,,,,
1EuTRSDcWnK49y8dSEZRq8M4RpwNkW28tqUM6t1rXLi,rug_completed,0,,,,
1FHgqQ9AB9zM4U21BZoytCwi9RfAmDNeFKhX4rJMA7F,rug_completed,0,,,,
1FdBob8PSzAvbZCWnpeBhJhVURFA7BgE1Bqk2JwMYs4,rug_completed,0,,,,
1GES7GV9shWyFaZQHGW4U9AVLdS2Z168Q86wPQB2yZM,rug_completed,0,,,,
1GZqvavH48VZUfd7PgsgbF1CPQHGivMGiuxHZsJpBhA,rug_completed,0,,,,
1MTwpnwp5SunhzMMC8vLedqko86oMfN8XdEf4BVB43M,rug_completed,0,,,,
1PaXkhRNnJU9amCU9NMComJcmAfhuGBUdTroqyaXUTU,rug_completed,0,,,,
1QYSaSjCA1UyK6xUPjLFQPtHyBMoYWt2yJenPA8cksW,scam_pool_active,4987.87,2WSnZiHwJiV3BkdCRyDt1TrS8qjTNDnRmZzDcbZKpump,IWO,SOL,raydium
1QhJKrrWDqkDbdKgdpGp7p8YY8UfywP1D2qQEDLgAw2,rug_completed,0,,,,
1Qi9RvbmoNGbKSVcd9SLAbLXiFjnGRk549p4BQoeiZV,rug_completed,0,,,,
1RJbyeNLYFgRLfT9iwe4S6SgYgYH9MbBMjcUWLn75yf,rug_completed,0,,,,
1TJ397Gvzu7XKS54gUoC3zdLkRRRMXyZVd3ct2YWTrn,rug_completed,0,,,,
1Tq7hDcDtF5BLpP7izLfmQ8FZqL1zQVaKuvPGcAJzgq,rug_completed,0,,,,
1UaGrDsNor3CqZVeZJAMoakPkWoxt3xHnvbCSdS9fB2,rug_completed,0,,,,
1XqaaX74LGuQns7cj7FyiMkX1bNXnKfCtFdBoAehuJY,rug_completed,0,,,,
1Y3G64ezeaqmo9onTpfcyobiAERNDFvDGgC8TpSbmoJ,rug_completed,0,,,,
1YA32RnzDdxEEx91oeotpCJLfcm9knaiZgQ8hkhchdG,rug_completed,0,,,,
1YMd4aJv8bdz14adDgaWdic8aBcDvW78dJZoSvwdJ1p,rug_completed,0,,,,
1Z4ngKk1nhB71YVn9A3U2JCVe6NWynATAXRqf1XeHyZ,rug_completed,0,,,,
1ZBdq3RSUkw3CBbk2u6bgFYG87SYotXcWyuCCEuuLXV,rug_completed,0,,,,
1Zyyt37EwHH3VQW74Cw63Zk7vSN3Zsr88GZcFzf9QrQ,rug_completed,0,,,,
1aifNPTDr1hrvAUYwwXP9tytFCqxURvwU2mV9wiTrL4,rug_completed,0,,,,
1b2Gq4ciGYNU8ycBpkcDuD6xPJzH3pJtBSKb4wxrDgd,rug_completed,0,,,,
1bgpK4FYLSWh2jHCcFX7io7GFgXadL868AUYJZZmCFG,rug_completed,0,,,,
1fkaMjhX5c7m2aJjP9sqdbZ8iRFcKKLw1u4fn4U8i95,rug_completed,0,,,,
1g8pv7RSyJ48NjScE5V9i8hYaqVoDnyXr4bpvVghA6s,rug_completed,0,,,,
1gc2m3UbBFJMQCb8ZGWpRLDVLmi13cf7q4CVc3TbqyV,rug_completed,0,,,,
1ghDG7d95CxAaQwq9rp2AJYtxz6XTA5n2Ft6hPNfRHY,rug_completed,0,,,,
1hvRWVvf9JgjTvngaKuxG3CJvHmsbXD51rTmVTjSSL5,rug_completed,0,,,,
1iwQYzbnbwTABzMzvWWotb4Rw5dorctscpS5u1hpWkr,rug_completed,0,,,,
1jGfpREc8iJRHDzz1qY5kAMSLr1EabLXfP2W7g4bHDx,rug_completed,0,,,,
1ji3gDsBjuvESfJDAJsnPivrUiWvL7FEEMC96grwpx2,rug_completed,0,,,,
1jw5fDodwGEGBVqNXsx2eqiLgNmgMDEeXWSbrTreLCM,rug_completed,0,,,,
1kNiKVDgBQfRozPHtH8V8AU8HdaiKF5iCeZZDMueZ9n,rug_completed,0,,,,
1koYvNEJ5gWXZ6V3re8xwXDHrEpHf4vNYrNGv4bhrqK,rug_completed,0,,,,
1mfPunSsrV2rWgJZQX6Qj8K1cRaWVQLGPVX9RjyVvxL,rug_completed,0,,,,
1mkry4EKfqWhGZ4QV5LMhWWq1gUu2cArhDeEW1db1Tm,rug_completed,0,,,,
1no84hs2gCNHp7vMEvJkSkNP4W5hsPDLxTyEgSpBkhw,rug_completed,0,,,,
1npodR9wu5MVzDUf2FVeNXPv1cM1jhyU7junbkcjmrT,rug_completed,0,,,,
1nrxDdRGpVxZ41zZRxxSEQg1wv1n82NLNPKj9P4Bvei,rug_completed,0,,,,
1o7HoENi6MEbEWqavMywoohyJ2WUMVBn8wbDpdbJDJw,rug_completed,0,,,,
1ue1eq711U3H8vTtHowr6r97pnQK1H47HJNtNNb7HFX,rug_completed,0,,,,
1ueV4FHYKLFXQjWCW8dWb2xB6dnod7CqMNQFKV8wujp,rug_completed,0,,,,
1vSLVVfXmGico9VUT9ERWW5AcpojdJzYyUs6TdszLvy,rug_completed,0,,,,
